<div style="font-weight:bold;display:inline-block;"><div style=
Q9162678 | SKIPPED_OBJECT | <div class="fn">
polish:  <div style="display:inline-block" dir="ltr" lang="pl">
Q11865815 | TOO_SMALL | 200x250
Q102080152 | SKIPPED_OBJECT | rotterdam kunstwerk de roeiers rotterdam, katendrecht. kunstwerk "de roeiers" va
Q102080161 | SKIPPED_OBJECT | rotterdam kunstwerk dora dolz gravendijkwal rotterdam, 's-gravendijkwal/rochusse
Q102080179 | SKIPPED_OBJECT | die bocht, 2011 sculptuur onderdeel van herinrichting van knooppunt kleinpolderp
Q102080184 | SKIPPED_OBJECT | rotterdam kunstwerk leen droppers rotterdam hoogvliet, metrostation zalmplaat. k
Q102080188 | SKIPPED_OBJECT | rotterdam monument gastarbeiders the photographical reproduction of this work is
Q102080195 | SKIPPED_OBJECT | rotterdam kunstwerk bas maters rotterdam kralingen, sophiakade. kunstwerk zonder
Q102080209 | SKIPPED_OBJECT | rotterdam kunstwerk polaris&octans rotterdam brainpark, lichtenauerweg. kunstwer
Q102080218 | SKIPPED_OBJECT | rotterdam kunstwerk shelter rotterdam, spinozapark. kunstwerk "shelter opgedrage
Q102080238 | SKIPPED_OBJECT | volten rotterdam kralingen 01 sculpture <i>8 elementen</i> (1976/7) by andré vol
Q102080240 | SKIPPED_OBJECT | rotterdam kunstwerk potvisstaarten the photographical reproduction of this work 
Q102080380 | SKIPPED_OBJECT | rotterdam kunstwerk everzwijn rotterdam hoogvliet, park vossendijk. kunstwerk "e
Q102080388 | SKIPPED_OBJECT | rotterdam kunstwerk idenburg rotterdam, schiebroek, berberisweg. kunstwerk zonde
Q102080392 | SKIPPED_OBJECT | vaart vrij, monument voor amsterdamse vakbondsleider edo fimmen (1881-1942), 199
Q102080400 | SKIPPED_OBJECT | rotterdam kunstwerk twist and shout the photographical reproduction of this work
Q102080406 | SKIPPED_OBJECT | rotterdam kunstwerk baken rotterdam, groeninx van zoelenlaan. kunstwerk "baken" 
Q102080422 | SKIPPED_OBJECT | rotterdam kunstwerk van vlinderbuurt tot takkenwijk the photographical reproduct
Q11903855 | TOO_SMALL | 400x671
